gamma,edge_source,edge_dest,edge_found,flow_value,gamma_cost,penalty_cost,has_violation,violations_count,simulation_time,status
1.0,81,82,True,8,1.0,8.0,True,1,2.000671248182619,success
50.0,81,82,True,3,50.0,150.0,True,1,2.1623179909576136,success
100.0,81,82,True,0,100.0,0.0,False,0,1.7010680557802218,success
