gamma,edge_source,edge_dest,edge_found,flow_value,gamma_cost,penalty_cost,has_violation,violations_count,simulation_time,status
1.0,81,82,True,11,1.0,11.0,True,1,1.2124279952790369,success
10.0,81,82,True,3,10.0,30.0,True,1,1.845821390013463,success
50.0,81,82,True,3,50.0,150.0,True,1,1.9085242576923636,success
100.0,81,82,True,0,100.0,0.0,False,0,1.77381062370202,success
200.0,81,82,True,0,200.0,0.0,False,0,1.9885293577488499,success
400.0,81,82,True,0,400.0,0.0,False,0,1.6815678113433898,success
800.0,81,82,True,0,800.0,0.0,False,0,1.3899806258076426,success
