gamma,edge_source,edge_dest,edge_found,flow_value,gamma_cost,penalty_cost,has_violation,violations_count,simulation_time,status
1.0,75,80,True,8,1.0,8.0,True,1,1.5773403314291556,success
50.0,75,80,True,3,50.0,150.0,True,1,1.852566978121346,success
100.0,75,80,True,1,100.0,100.0,True,1,1.6475839657911702,success
