gamma,edge_source,edge_dest,edge_found,flow_value,gamma_cost,penalty_cost,has_violation,violations_count,simulation_time,status
1.0,81,82,True,10,1.0,10.0,True,1,2.1707198798681198,success
10.0,81,82,True,7,10.0,70.0,True,1,1.4412565415124245,success
50.0,81,82,True,3,50.0,150.0,True,1,1.3394427744639026,success
100.0,81,82,True,1,100.0,100.0,True,1,1.6949401366557024,success
200.0,81,82,True,0,200.0,0.0,False,0,2.014347383216853,success
400.0,81,82,True,0,400.0,0.0,False,0,1.6906979213633906,success
800.0,81,82,True,0,800.0,0.0,False,0,1.6753401757257187,success
