(0, 3)
(1, 4)
(1, 11)
(1, 18)
(2, 5)
(2, 12)
(3, 6)
(4, 7)
(4, 14)
(4, 21)
(5, 8)
(5, 15)
(6, 9)
(7, 10)
(7, 17)
(7, 24)
(8, 11)
(8, 18)
(9, 12)
(10, 13)
(10, 20)
(10, 27)
(11, 14)
(11, 21)
(12, 15)
(13, 16)
(13, 23)
(13, 30)
(14, 17)
(14, 24)
(15, 18)
(16, 19)
(16, 26)
(16, 33)
(17, 20)
(17, 27)
(18, 21)
(19, 22)
(19, 29)
(19, 36)
(20, 23)
(20, 30)
(21, 24)
(22, 25)
(22, 32)
(22, 39)
(23, 26)
(23, 33)
(24, 27)
(25, 28)
(25, 35)
(25, 42)
(26, 29)
(26, 36)
(27, 30)
(28, 31)
(28, 38)
(28, 45)
(29, 32)
(29, 39)
(30, 33)
(31, 34)
(31, 41)
(31, 48)
(32, 35)
(32, 42)
(33, 36)
(34, 37)
(34, 44)
(34, 51)
(35, 38)
(35, 45)
(36, 39)
(37, 40)
(37, 47)
(37, 54)
(38, 41)
(38, 48)
(39, 42)
(40, 43)
(40, 50)
(40, 57)
(41, 44)
(41, 51)
(42, 45)
(43, 46)
(43, 53)
(43, 60)
(44, 47)
(44, 54)
(45, 48)
(46, 49)
(46, 56)
(46, 63)
(47, 50)
(47, 57)
(48, 51)
(49, 52)
(49, 59)
(49, 66)
(50, 53)
(50, 60)
(51, 54)
(52, 55)
(52, 62)
(52, 69)
(53, 56)
(53, 63)
(54, 57)
(55, 58)
(55, 65)
(55, 72)
(56, 59)
(56, 66)
(57, 60)
(58, 61)
(58, 68)
(58, 75)
(59, 62)
(59, 69)
(60, 63)
(61, 71)
(61, 78)
(62, 72)
