No,Map,Total AGVs,Horizontal Time,Time step,Solution,Num of Reaching Target AGVs,Num of Halting AGVs,Objective Value,Running Time(s),# Of Solving,Pedestrian simulation mode
229.0,simplest.txt,2,10,1,solver,0,2,0,0.9573335647583008,0.885694,0,2025-06-11 08:22:53
230.0,simplest.txt,2,10,1,networkx,2,0,18.0,3.2564327716827393,0.0032934347788492837,1,2025-06-11 08:22:57
231.0,simplest.txt,2,10,1,solver,1,1,6,0.19192790985107422,0.0846505,1,2025-06-11 08:22:58
232.0,simplest.txt,2,10,1,networkx,0,2,0,1.349360466003418,0.002737760543823242,2,2025-06-11 08:22:59
233.0,simplest.txt,2,10,1,solver,0,2,0,0.17401742935180664,0.153159,2,2025-06-11 08:23:00
234.0,simplest.txt,2,10,1,networkx,2,0,15.0,3.1432979106903076,0.0017157395680745442,0,2025-06-11 08:27:05
235.0,simplest.txt,2,10,1,solver,0,2,0,1.1036317348480225,0.6457999999999999,0,2025-06-11 08:27:06
236.0,simplest.txt,2,10,1,networkx,2,0,15.0,1.0723514556884766,0.0024557113647460938,1,2025-06-11 08:27:08
237.0,simplest.txt,2,10,1,solver,2,0,15.0,0.5572974681854248,0.540574,1,2025-06-11 08:27:08
238.0,simplest.txt,2,10,1,networkx,0,2,0,0.9024674892425537,0.001470804214477539,2,2025-06-11 08:27:09
239.0,simplest.txt,2,10,1,solver,1,1,12.0,0.877326488494873,0.14631719999999998,2,2025-06-11 08:27:10
240.0,simplest.txt,2,10,1,networkx,2,0,18.0,2.540415048599243,0.001803000768025716,0,2025-06-11 08:29:11
241.0,simplest.txt,2,10,1,solver,0,2,0,1.3681466579437256,0.959637,0,2025-06-11 08:29:12
242.0,simplest.txt,2,10,1,networkx,2,0,15.0,1.2441961765289307,0.002218484878540039,1,2025-06-11 08:29:14
243.0,simplest.txt,2,10,1,solver,2,0,15.0,0.6977262496948242,0.21813733333333332,1,2025-06-11 08:29:15
244.0,simplest.txt,2,10,1,networkx,0,2,0,1.3996188640594482,0.006342649459838867,2,2025-06-11 08:29:17
245.0,simplest.txt,2,10,1,solver,0,2,0,0.2845301628112793,0.254254,2,2025-06-11 08:29:17
246.0,simplest.txt,2,10,1,networkx,0,2,0,1.414811134338379,0.003642559051513672,0,2025-06-11 08:31:52
247.0,simplest.txt,2,10,1,solver,0,2,0,0.4631993770599365,0.44725299999999996,0,2025-06-11 08:31:53
248.0,simplest.txt,2,10,1,networkx,2,0,15.0,0.8918545246124268,0.0022652149200439453,1,2025-06-11 08:31:54
249.0,simplest.txt,2,10,1,solver,2,0,15.0,0.5261404514312744,0.5156919999999999,1,2025-06-11 08:31:55
250.0,simplest.txt,2,10,1,networkx,0,2,0,0.8019421100616455,0.0009286403656005859,2,2025-06-11 08:31:56
251.0,simplest.txt,2,10,1,solver,0,2,0,0.6139545440673828,0.596966,2,2025-06-11 08:31:56
252.0,simplest.txt,2,10,1,networkx,0,2,0,1.288038730621338,0.004101276397705078,0,2025-06-11 08:32:37
253.0,simplest.txt,2,10,1,solver,1,1,14.0,0.5069785118103027,0.11647249999999998,0,2025-06-11 08:32:38
254.0,simplest.txt,2,10,1,networkx,1,1,6,2.3636109828948975,0.003813028335571289,1,2025-06-11 08:32:41
255.0,simplest.txt,2,10,1,solver,1,1,7.0,0.1250476837158203,0.115746,1,2025-06-11 08:32:41
256.0,simplest.txt,2,10,1,networkx,0,2,0,0.924107551574707,0.005308628082275391,2,2025-06-11 08:32:42
257.0,simplest.txt,2,10,1,solver,0,2,0,0.26617980003356934,0.248612,2,2025-06-11 08:32:42
258.0,simplest.txt,2,10,1,networkx,0,2,0,2.2780356407165527,0.0019054412841796875,0,2025-06-11 08:56:54
259.0,simplest.txt,2,10,1,solver,0,2,0,0.5138180255889893,0.502989,0,2025-06-11 08:56:55
260.0,simplest.txt,2,10,1,networkx,2,0,15.0,1.0356724262237549,0.0018622875213623047,1,2025-06-11 08:56:56
261.0,simplest.txt,2,10,1,solver,1,1,14.0,0.4110431671142578,0.09503274999999999,1,2025-06-11 08:56:57
262.0,simplest.txt,2,10,1,networkx,1,1,9,2.6637771129608154,0.0012078285217285156,2,2025-06-11 08:56:59
263.0,simplest.txt,2,10,1,solver,0,2,0,0.15226483345031738,0.13702499999999998,2,2025-06-11 08:57:00
264.0,simplest.txt,2,10,10,networkx,2,0,15.0,0.10729408264160156,0.0006993611653645834,0,2025-06-11 11:23:39
265.0,simplest.txt,2,10,10,solver,2,0,15.0,0.21358895301818848,0.056577999999999996,0,2025-06-11 11:23:41
266.0,simplest.txt,2,10,1,networkx,0,2,0,2.0818917751312256,0.003042459487915039,0,2025-06-11 11:28:42
267.0,simplest.txt,2,10,1,solver,1,1,12.0,1.0843029022216797,0.18079499999999998,0,2025-06-11 11:28:43
268.0,simplest.txt,2,10,1,networkx,1,1,7.0,1.3060600757598877,0.0051882266998291016,1,2025-06-11 11:28:45
269.0,simplest.txt,2,10,1,solver,1,1,7.0,0.1688683032989502,0.15068399999999998,1,2025-06-11 11:28:46
270.0,simplest.txt,2,10,1,networkx,0,2,0,1.0732498168945312,0.0027620792388916016,2,2025-06-11 11:28:47
271.0,simplest.txt,2,10,1,solver,0,2,0,0.40625596046447754,0.388675,2,2025-06-11 11:28:47
272.0,simplest.txt,2,10,10,networkx,0,2,0,0.15817499160766602,0.0007884502410888672,0,2025-06-11 11:30:37
273.0,simplest.txt,2,10,10,solver,0,2,0,0.021889925003051758,0.0159,0,2025-06-11 11:30:37
274.0,simplest.txt,2,10,10,networkx,2,0,15.0,0.0030655860900878906,0.0005280971527099609,1,2025-06-11 11:30:37
275.0,simplest.txt,2,10,10,solver,2,0,15.0,0.019985675811767578,0.013779999999999999,1,2025-06-11 11:30:37
276.0,simplest.txt,2,10,10,networkx,0,2,0,0.0043354034423828125,0.0003685951232910156,2,2025-06-11 11:30:37
277.0,simplest.txt,2,10,10,solver,0,2,0,0.02386164665222168,0.013689,2,2025-06-11 11:30:37
278.0,simplest.txt,2,10,10,networkx,2,0,15.0,2.9912824630737305,0.0017813841501871746,0,2025-06-11 12:09:24
279.0,simplest.txt,2,10,10,solver,0,2,0,0.5034143924713135,0.15772999999999998,0,2025-06-11 12:09:25
280.0,simplest.txt,2,10,10,networkx,2,0,15.0,3.0076470375061035,0.0005479653676350912,1,2025-06-11 12:09:28
281.0,simplest.txt,2,10,10,solver,1,1,6,0.07553672790527344,0.0221765,1,2025-06-11 12:09:29
282.0,simplest.txt,2,10,10,networkx,1,1,9,2.6326398849487305,0.0006896257400512695,2,2025-06-11 12:09:31
283.0,simplest.txt,2,10,10,solver,0,2,0,0.048239707946777344,0.033018,2,2025-06-11 12:09:32
284.0,simplest.txt,2,10,1,networkx,0,2,0,2.368513584136963,0.004084348678588867,0,2025-06-11 12:14:50
285.0,simplest.txt,2,10,1,solver,1,1,14.0,0.45378637313842773,0.084478,0,2025-06-11 12:14:50
286.0,simplest.txt,2,10,1,networkx,1,1,7.0,1.0282037258148193,0.0016186237335205078,1,2025-06-11 12:14:52
287.0,simplest.txt,2,10,1,solver,1,1,7.0,0.21880030632019043,0.200521,1,2025-06-11 12:14:52
288.0,simplest.txt,2,10,1,networkx,1,1,7,1.873216152191162,0.004564404487609863,2,2025-06-11 12:14:54
289.0,simplest.txt,2,10,1,solver,0,2,0,0.21541929244995117,0.19808399999999998,2,2025-06-11 12:14:55
290.0,simplest.txt,2,10,1,networkx,0,2,0,1.2228586673736572,0.0013871192932128906,0,2025-06-11 12:15:20
291.0,simplest.txt,2,10,1,solver,0,2,0,0.348463773727417,0.33999799999999997,0,2025-06-11 12:15:20
292.0,simplest.txt,2,10,1,networkx,2,0,15.0,2.890859365463257,0.0023627281188964844,1,2025-06-11 12:15:24
293.0,simplest.txt,2,10,1,solver,1,1,6,0.27031660079956055,0.072959,1,2025-06-11 12:15:24
294.0,simplest.txt,2,10,1,networkx,0,2,0,0.9583425521850586,0.0028438568115234375,2,2025-06-11 12:15:25
295.0,simplest.txt,2,10,1,solver,1,1,7,0.2747039794921875,0.108691,2,2025-06-11 12:15:26
296.0,simplest.txt,2,10,1,networkx,2,0,18.0,2.695373773574829,0.010742505391438803,0,2025-06-11 16:16:46
297.0,simplest.txt,2,10,1,solver,0,2,0,1.0226385593414307,0.672763,0,2025-06-11 16:16:47
298.0,simplest.txt,2,10,1,networkx,2,0,15.0,0.9130096435546875,0.0011556148529052734,1,2025-06-11 16:16:49
299.0,simplest.txt,2,10,1,solver,2,0,15.0,0.6649041175842285,0.648424,1,2025-06-11 16:16:49
300.0,simplest.txt,2,10,1,networkx,2,0,15.0,2.6323940753936768,0.001438458760579427,2,2025-06-11 16:16:52
301.0,simplest.txt,2,10,1,solver,0,2,0,0.1882152557373047,0.173099,2,2025-06-11 16:16:53
302.0,simplest.txt,2,10,1,networkx,0,2,0,2.515045166015625,0.002779245376586914,0,2025-06-11 16:47:41
303.0,simplest.txt,2,10,1,solver,0,2,0,0.4072415828704834,0.392453,0,2025-06-11 16:47:41
304.0,simplest.txt,2,10,1,networkx,2,0,15.0,3.1664178371429443,0.0019926230112711587,1,2025-06-11 16:47:44
305.0,simplest.txt,2,10,1,solver,1,1,7,0.3195316791534424,0.13653649999999998,1,2025-06-11 16:47:45
306.0,simplest.txt,2,10,1,networkx,0,2,0,1.342299461364746,0.0035872459411621094,2,2025-06-11 16:47:46
307.0,simplest.txt,2,10,1,solver,0,2,0,0.2647082805633545,0.24667999999999998,2,2025-06-11 16:47:47
308.0,QuardNodes.txt,5,10,1,networkx,2,3,10.0,0.2752387523651123,0.004649798075358073,0,2025-06-11 16:49:07
309.0,QuardNodes.txt,5,10,1,solver,0,5,0,4.359794855117798,0.8559675999999999,0,2025-06-11 16:49:11
310.0,QuardNodes.txt,2,10,1,networkx,0,2,0,12.685871601104736,10.57762336730957,0,2025-06-11 16:51:03
311.0,QuardNodes.txt,2,10,1,solver,2,0,13,0.5065672397613525,0.16039166666666668,0,2025-06-11 16:51:04
312.0,QuardNodes.txt,2,10,1,networkx,0,2,0,268.5501000881195,268.381361246109,0,2025-06-11 16:56:47
313.0,QuardNodes.txt,2,10,1,solver,1,1,9,0.2993617057800293,0.1416425,0,2025-06-11 16:56:48
314.0,QuardNodes.txt,2,10,1,networkx,2,0,7.0,16.352201461791992,16.3497154712677,1,2025-06-11 16:57:04
315.0,QuardNodes.txt,2,10,1,solver,2,0,7.0,0.2693195343017578,0.26098699999999997,1,2025-06-11 16:57:04
316.0,QuardNodes.txt,2,10,1,networkx,1,1,9,23.263749599456787,11.627439022064209,2,2025-06-11 16:57:28
317.0,QuardNodes.txt,2,10,1,solver,2,0,14,0.33257532119750977,0.10266066666666666,2,2025-06-11 16:57:28
318.0,simplest.txt,2,10,1,networkx,0,2,0,1.571110486984253,0.0019316673278808594,0,2025-06-11 17:00:12
319.0,simplest.txt,2,10,1,solver,0,2,0,0.2788548469543457,0.269914,0,2025-06-11 17:00:13
320.0,simplest.txt,2,10,1,networkx,2,0,21.0,2.6863505840301514,0.0017259915669759114,1,2025-06-11 17:00:16
321.0,simplest.txt,2,10,1,solver,1,1,9,0.13142991065979004,0.0572895,1,2025-06-11 17:00:16
322.0,simplest.txt,2,10,1,networkx,0,2,0,0.9731156826019287,0.0015611648559570312,2,2025-06-11 17:00:17
323.0,simplest.txt,2,10,1,solver,0,2,0,0.20123291015625,0.167762,2,2025-06-11 17:00:17
324.0,simplest.txt,2,10,1,networkx,0,2,0,1.195896863937378,0.0015735626220703125,0,2025-06-11 17:01:03
325.0,simplest.txt,2,10,1,solver,0,2,0,0.2582099437713623,0.24839799999999998,0,2025-06-11 17:01:03
326.0,simplest.txt,2,10,1,networkx,2,0,15.0,3.2218973636627197,0.0016472339630126953,1,2025-06-11 17:01:07
327.0,simplest.txt,2,10,1,solver,1,1,7.0,0.22556161880493164,0.182064,1,2025-06-11 17:01:07
328.0,simplest.txt,2,10,1,networkx,1,1,8,3.543560028076172,0.002721865971883138,2,2025-06-11 17:01:11
329.0,simplest.txt,2,10,1,solver,0,2,0,0.16919732093811035,0.14685299999999998,2,2025-06-11 17:01:11
330.0,simplest.txt,2,10,10,networkx,0,2,0,0.16022348403930664,0.0007214546203613281,0,2025-06-11 17:05:42
331.0,simplest.txt,2,10,10,solver,0,2,0,0.02305746078491211,0.016744,0,2025-06-11 17:05:42
332.0,simplest.txt,2,10,10,networkx,2,0,15.0,0.00583338737487793,0.0003254413604736328,1,2025-06-11 17:05:42
333.0,simplest.txt,2,10,10,solver,1,1,6,0.033754587173461914,0.012166,1,2025-06-11 17:05:42
334.0,simplest.txt,2,10,10,networkx,0,2,0,0.004498004913330078,0.0005905628204345703,2,2025-06-11 17:05:42
335.0,simplest.txt,2,10,10,solver,0,2,0,0.017925739288330078,0.010747999999999999,2,2025-06-11 17:05:42
336.0,simplest.txt,2,10,10,networkx,0,2,0,0.21791934967041016,0.0006470680236816406,0,2025-06-11 17:05:55
337.0,simplest.txt,2,10,10,solver,0,2,0,0.0242764949798584,0.018911999999999998,0,2025-06-11 17:05:55
338.0,simplest.txt,2,10,10,networkx,2,0,15.0,0.007480144500732422,0.0006337960561116537,1,2025-06-11 17:05:56
339.0,simplest.txt,2,10,10,solver,1,1,6,0.03704023361206055,0.0116765,1,2025-06-11 17:05:56
340.0,simplest.txt,2,10,10,networkx,1,1,9,0.010744094848632812,0.00038373470306396484,2,2025-06-11 17:05:56
341.0,simplest.txt,2,10,10,solver,1,1,9,0.0287015438079834,0.008339,2,2025-06-11 17:05:56
342.0,QuardNodes.txt,2,10,1,networkx,1,1,8,0.17490124702453613,0.0014072656631469727,0,2025-06-11 17:07:34
343.0,QuardNodes.txt,2,10,1,solver,1,1,8,0.2926790714263916,0.138954,0,2025-06-11 17:07:34
344.0,QuardNodes.txt,2,10,1,networkx,2,0,9,0.02496957778930664,0.001503308614095052,1,2025-06-11 17:07:34
345.0,QuardNodes.txt,2,10,1,solver,2,0,7.0,0.3140568733215332,0.305197,1,2025-06-11 17:07:35
346.0,QuardNodes.txt,2,10,1,networkx,2,0,16,0.013744115829467773,0.0009290377298990885,2,2025-06-11 17:07:35
347.0,QuardNodes.txt,2,10,1,solver,2,0,16,0.315352201461792,0.09723366666666668,2,2025-06-11 17:07:35
348.0,QuardNodes.txt,2,10,1,networkx,1,1,5,0.16562747955322266,0.002061605453491211,0,2025-06-11 17:07:56
349.0,QuardNodes.txt,2,10,1,solver,2,0,9,0.31232333183288574,0.09811866666666667,0,2025-06-11 17:07:56
350.0,QuardNodes.txt,2,10,1,networkx,2,0,7.0,0.0060193538665771484,0.001172780990600586,1,2025-06-11 17:07:56
351.0,QuardNodes.txt,2,10,1,solver,2,0,7.0,0.2874011993408203,0.279194,1,2025-06-11 17:07:56
352.0,QuardNodes.txt,2,10,1,networkx,2,0,9,0.012527227401733398,0.0008653799692789713,2,2025-06-11 17:07:56
353.0,QuardNodes.txt,2,10,1,solver,0,2,0,0.23238897323608398,0.223822,2,2025-06-11 17:07:57
354.0,QuardNodes.txt,2,10,1,networkx,0,2,0,0.17391252517700195,0.0019431114196777344,0,2025-06-11 17:08:25
355.0,QuardNodes.txt,2,10,1,solver,0,2,0,0.24541544914245605,0.236388,0,2025-06-11 17:08:25
356.0,QuardNodes.txt,2,10,1,networkx,2,0,9,0.013096094131469727,0.0013384024302164714,1,2025-06-11 17:08:25
357.0,QuardNodes.txt,2,10,1,solver,2,0,7.0,0.24328970909118652,0.233197,1,2025-06-11 17:08:26
358.0,QuardNodes.txt,2,10,1,networkx,1,1,7,0.012715339660644531,0.001070261001586914,2,2025-06-11 17:08:26
359.0,QuardNodes.txt,2,10,1,solver,1,1,7,0.28858304023742676,0.1371695,2,2025-06-11 17:08:26
360.0,QuardNodes.txt,2,10,1,networkx,0,2,0,0.20418214797973633,0.0021500587463378906,0,2025-06-11 17:09:36
361.0,QuardNodes.txt,2,10,1,solver,0,2,0,0.3004281520843506,0.292404,0,2025-06-11 17:09:36
362.0,QuardNodes.txt,2,10,1,networkx,2,0,9,0.017164230346679688,0.0014638106028238933,1,2025-06-11 17:09:36
363.0,QuardNodes.txt,2,10,1,solver,2,0,9,0.3550562858581543,0.11019399999999997,1,2025-06-11 17:09:37
364.0,QuardNodes.txt,2,10,1,networkx,2,0,10,0.02524089813232422,0.0016695658365885417,2,2025-06-11 17:09:37
365.0,QuardNodes.txt,2,10,1,solver,2,0,10,0.3264167308807373,0.1006543333333333,2,2025-06-11 17:09:37
366.0,simplest.txt,2,10,1,networkx,0,2,0,1.173982858657837,0.0018606185913085938,0,2025-06-29 17:15:55
367.0,simplest.txt,2,10,1,solver,0,2,0,0.19677519798278809,0.15289999999999998,0,2025-06-29 17:15:55
368.0,simplest.txt,2,10,1,networkx,2,0,15.0,0.6784694194793701,0.002222776412963867,1,2025-06-29 17:15:56
369.0,simplest.txt,2,10,1,solver,2,0,15.0,0.08852863311767578,0.083109,1,2025-06-29 17:15:56
370.0,simplest.txt,2,10,1,networkx,0,2,0,0.5298497676849365,0.002343416213989258,2,2025-06-29 17:15:57
371.0,simplest.txt,2,10,1,solver,0,2,0,0.15830111503601074,0.14174699999999998,2,2025-06-29 17:15:57
372.0,QuardNodes.txt,2,10,1,networkx,2,0,14,2.0352964401245117,0.0016067028045654297,0,2025-06-29 17:20:03
373.0,QuardNodes.txt,2,10,1,solver,1,1,8,0.31024885177612305,0.0757765,0,2025-06-29 17:20:03
374.0,QuardNodes.txt,2,10,1,networkx,2,0,9,2.3337719440460205,0.0013562838236490886,1,2025-06-29 17:20:06
375.0,QuardNodes.txt,2,10,1,solver,2,0,7.0,0.11974143981933594,0.11194,1,2025-06-29 17:20:06
376.0,QuardNodes.txt,2,10,1,networkx,2,0,12,3.055850028991699,0.0017299652099609375,2,2025-06-29 17:20:10
377.0,QuardNodes.txt,2,10,1,solver,2,0,14,0.29192256927490234,0.08312766666666667,2,2025-06-29 17:20:10
378.0,simplest.txt,2,20,1,networkx,2,0,27.0,0.09172677993774414,0.001277605692545573,0,2025-06-30 11:51:40
379.0,simplest.txt,2,20,1,solver,1,1,17.0,0.3388845920562744,0.06697924999999999,0,2025-06-30 11:51:40
380.0,simplest.txt,2,20,1,networkx,2,0,12,0.011425971984863281,0.0009915828704833984,1,2025-06-30 11:51:41
381.0,simplest.txt,2,20,1,solver,2,0,12,0.07270956039428711,0.019349333333333333,1,2025-06-30 11:51:41
382.0,simplest.txt,2,20,1,networkx,1,1,13,0.0150299072265625,0.002270221710205078,2,2025-06-30 11:51:41
383.0,simplest.txt,2,20,1,solver,1,1,13,0.06343531608581543,0.025313,2,2025-06-30 11:51:41
384.0,simplest.txt,2,20,1,networkx,2,0,12.0,22.818501710891724,7.58647886912028,0,2025-06-30 16:50:51
385.0,simplest.txt,2,20,1,solver,2,0,55.0,0.217393159866333,0.0347786,0,2025-06-30 16:50:52
386.0,simplest.txt,2,20,1,networkx,1,1,5.0,1.9822890758514404,1.9302308559417725,1,2025-06-30 16:50:54
387.0,simplest.txt,2,20,1,solver,1,1,5.0,0.037169694900512695,0.032329,1,2025-06-30 16:50:54
388.0,simplest.txt,2,20,1,networkx,1,1,10,4.972826719284058,1.6544008255004883,2,2025-06-30 16:50:59
389.0,simplest.txt,2,20,1,solver,0,2,0,0.047460317611694336,0.041191,2,2025-06-30 16:50:59
390.0,simplest.txt,2,20,1,networkx,2,0,45.0,11.699597358703613,3.871237277984619,0,2025-06-30 22:15:22
391.0,simplest.txt,2,20,1,solver,2,0,31.0,0.6766996383666992,0.11901579999999998,0,2025-06-30 22:15:23
392.0,simplest.txt,2,20,1,networkx,2,0,17.0,23.19171714782715,23.18889832496643,1,2025-06-30 22:15:46
393.0,simplest.txt,2,20,1,solver,2,0,17.0,0.17783665657043457,0.17276,1,2025-06-30 22:15:47
394.0,simplest.txt,2,20,1,networkx,1,1,20.0,3.370699882507324,1.6474729776382446,2,2025-06-30 22:15:50
395.0,simplest.txt,2,20,1,solver,1,1,16,0.06756067276000977,0.027462,2,2025-06-30 22:15:50
396.0,QuardNodes.txt,2,10,1,networkx,0,2,0,20.95717477798462,19.06839942932129,0,2025-07-01 08:20:02
397.0,QuardNodes.txt,2,10,1,solver,0,2,0,0.15548300743103027,0.127059,0,2025-07-01 08:20:03
398.0,simplest.txt,2,10,10,networkx,0,2,0,0.04358506202697754,0.0005478858947753906,0,2025-07-01 19:05:53
399.0,simplest.txt,2,10,10,solver,0,2,0,0.05475306510925293,0.042952,0,2025-07-01 19:05:54
400.0,simplest.txt,2,10,10,networkx,2,0,15.0,0.002644777297973633,0.0005791187286376953,1,2025-07-01 19:05:54
401.0,simplest.txt,2,10,10,solver,2,0,15.0,0.013640880584716797,0.011469,1,2025-07-01 19:05:54
402.0,simplest.txt,2,10,10,networkx,0,2,0,0.002572774887084961,0.0005271434783935547,2,2025-07-01 19:05:54
403.0,simplest.txt,2,10,10,solver,0,2,0,0.00590968132019043,0.003535,2,2025-07-01 19:05:54
404.0,simplest.txt,2,20,1,networkx,2,0,45.0,0.4674220085144043,0.0024189154307047525,0,2025-07-01 19:06:20
405.0,simplest.txt,2,20,1,solver,1,1,29.0,0.20584654808044434,0.0221102,0,2025-07-01 19:06:20
406.0,simplest.txt,2,20,1,networkx,1,1,5.0,0.14527440071105957,0.0015556812286376953,1,2025-07-01 19:06:20
407.0,simplest.txt,2,20,1,solver,1,1,5.0,0.04199838638305664,0.038072999999999996,1,2025-07-01 19:06:20
408.0,simplest.txt,2,20,1,networkx,1,1,14,0.2474381923675537,0.0019365549087524414,2,2025-07-01 19:06:21
409.0,simplest.txt,2,20,1,solver,1,1,14,0.05012059211730957,0.017703,2,2025-07-01 19:06:21
410.0,simplest.txt,2,20,1,networkx,2,0,36.0,2.405294895172119,0.0031081835428873696,0,2025-07-01 19:08:17
411.0,simplest.txt,2,20,1,solver,2,0,47.0,0.3701326847076416,0.064937,0,2025-07-01 19:08:17
412.0,simplest.txt,2,20,1,networkx,2,0,20.0,0.9349400997161865,0.0027875900268554688,1,2025-07-01 19:08:18
413.0,simplest.txt,2,20,1,solver,2,0,20.0,0.12006974220275879,0.11164099999999999,1,2025-07-01 19:08:19
414.0,simplest.txt,2,20,1,networkx,1,1,30.0,1.4995782375335693,0.003153204917907715,2,2025-07-01 19:08:20
415.0,simplest.txt,2,20,1,solver,1,1,16,0.13526010513305664,0.056472499999999995,2,2025-07-01 19:08:20
416.0,simplest.txt,2,20,1,networkx,2,0,24.0,3.556030511856079,0.003316164016723633,0,2025-07-01 19:12:29
417.0,simplest.txt,2,20,1,solver,2,0,33.0,0.8467726707458496,0.146789,0,2025-07-01 19:12:30
418.0,simplest.txt,2,20,1,networkx,2,0,19.0,1.677929162979126,0.003002166748046875,1,2025-07-01 19:12:32
419.0,simplest.txt,2,20,1,solver,2,0,12,0.2515993118286133,0.06399866666666666,1,2025-07-01 19:12:33
420.0,simplest.txt,2,20,1,networkx,1,1,24.0,1.6151559352874756,0.0034331083297729492,2,2025-07-01 19:12:34
421.0,simplest.txt,2,20,1,solver,1,1,17,0.25353217124938965,0.05802733333333333,2,2025-07-01 19:12:35
422.0,simplest.txt,2,20,1,networkx,2,0,15.0,2.329937696456909,0.003111759821573893,0,2025-07-01 19:15:54
423.0,simplest.txt,2,20,1,solver,2,0,47.0,0.8468995094299316,0.1421406,0,2025-07-01 19:15:55
424.0,simplest.txt,2,20,1,networkx,2,0,12,10.872799396514893,0.0025330384572347007,1,2025-07-01 19:16:06
425.0,simplest.txt,2,20,1,solver,2,0,22.0,0.10476279258728027,0.092762,1,2025-07-01 19:16:06
426.0,simplest.txt,2,20,1,networkx,1,1,32.0,2.1311111450195312,0.0052803754806518555,2,2025-07-01 19:16:08
427.0,simplest.txt,2,20,1,solver,1,1,13,0.21725201606750488,0.085266,2,2025-07-01 19:16:09
428.0,simplest.txt,2,20,1,networkx,2,0,36.0,1.8580842018127441,0.0034012794494628906,0,2025-07-01 19:16:52
429.0,simplest.txt,2,20,1,solver,2,0,12.0,0.40514230728149414,0.12531033333333333,0,2025-07-01 19:16:52
430.0,simplest.txt,2,20,1,networkx,2,0,12,2.9837703704833984,0.0026488304138183594,1,2025-07-01 19:16:56
431.0,simplest.txt,2,20,1,solver,2,0,16.0,0.19443154335021973,0.186184,1,2025-07-01 19:16:56
432.0,simplest.txt,2,20,1,networkx,0,2,0,0.7542598247528076,0.002923727035522461,2,2025-07-01 19:16:57
433.0,simplest.txt,2,20,1,solver,0,2,0,0.20154857635498047,0.181135,2,2025-07-01 19:16:57
434.0,simplest.txt,2,10,10,networkx,0,2,0,0.04945492744445801,0.0011053085327148438,0,2025-07-01 19:18:59
435.0,simplest.txt,2,10,10,solver,0,2,0,0.011567115783691406,0.007634999999999999,0,2025-07-01 19:18:59
436.0,simplest.txt,2,10,10,networkx,2,0,15.0,0.0012385845184326172,0.0003838539123535156,1,2025-07-01 19:18:59
437.0,simplest.txt,2,10,10,solver,2,0,15.0,0.006998777389526367,0.004827,1,2025-07-01 19:18:59
438.0,simplest.txt,2,10,10,networkx,0,2,0,0.0028955936431884766,0.00034236907958984375,2,2025-07-01 19:18:59
439.0,simplest.txt,2,10,10,solver,0,2,0,0.006631135940551758,0.0038729999999999997,2,2025-07-01 19:18:59
440.0,simplest.txt,2,20,1,networkx,2,0,27.0,3.3365283012390137,0.004181464513142903,0,2025-07-01 19:22:25
441.0,simplest.txt,2,20,1,solver,1,1,25.0,1.6006090641021729,0.28848674999999996,0,2025-07-01 19:22:26
442.0,simplest.txt,2,20,1,networkx,1,1,5.0,1.3231561183929443,0.003314495086669922,1,2025-07-01 19:22:29
443.0,simplest.txt,2,20,1,solver,1,1,5.0,0.1374049186706543,0.12418299999999999,1,2025-07-01 19:22:29
444.0,simplest.txt,2,20,1,networkx,1,1,16,2.1225507259368896,0.009048819541931152,2,2025-07-01 19:22:31
445.0,simplest.txt,2,20,1,solver,1,1,7,0.4874908924102783,0.11784899999999998,2,2025-07-01 19:22:32
446.0,simplest.txt,2,10,10,networkx,1,1,6,1.1800308227539062,0.0007216930389404297,0,2025-07-01 19:31:01
447.0,simplest.txt,2,10,10,solver,2,0,15.0,0.20711851119995117,0.053541000000000005,0,2025-07-01 19:31:01
448.0,simplest.txt,2,10,10,networkx,1,1,7.0,0.6693906784057617,0.0008573532104492188,1,2025-07-01 19:31:03
449.0,simplest.txt,2,10,10,solver,1,1,7.0,0.0587618350982666,0.041321,1,2025-07-01 19:31:03
450.0,simplest.txt,2,10,10,networkx,0,2,0,0.6795916557312012,0.003242969512939453,2,2025-07-01 19:31:04
451.0,simplest.txt,2,10,10,solver,0,2,0,0.14011216163635254,0.132973,2,2025-07-01 19:31:04
452.0,simplest.txt,2,20,1,networkx,2,0,30.0,1.7279839515686035,0.004606564839680989,0,2025-07-01 19:31:48
453.0,simplest.txt,2,20,1,solver,2,0,12.0,0.33527040481567383,0.09899966666666665,0,2025-07-01 19:31:49
454.0,simplest.txt,2,20,1,networkx,2,0,17.0,2.6398189067840576,0.005476474761962891,1,2025-07-01 19:31:52
455.0,simplest.txt,2,20,1,solver,2,0,16.0,0.41115665435791016,0.397038,1,2025-07-01 19:31:52
456.0,simplest.txt,2,20,1,networkx,2,0,14,2.6172244548797607,0.0032014052073160806,2,2025-07-01 19:31:55
457.0,simplest.txt,2,20,1,solver,2,0,14,0.281033992767334,0.08382933333333333,2,2025-07-01 19:31:55
458.0,simplest.txt,2,20,1,networkx,0,2,0,1.091970443725586,0.013421058654785156,0,2025-07-01 19:35:06
459.0,simplest.txt,2,20,1,solver,0,2,0,0.24671006202697754,0.23849499999999998,0,2025-07-01 19:35:06
460.0,simplest.txt,2,20,1,networkx,2,0,10.0,0.6138966083526611,0.0027861595153808594,1,2025-07-01 19:35:07
