No,Map,Total AGVs,Horizontal Time,Time step,Solution,Num of Reaching Target AGVs,Num of Halting AGVs,Objective Value,Running Time(s),# Of Solving,Pedestrian simulation mode
57.0,Redundant3x3Wards.txt,2,10,10,solver,0,2,0,0.006818056106567383,0.004373999999999999,1,2025-03-11 10:30:55
58.0,Redundant3x3Wards.txt,2,10,10,networkx,0,2,0,0.0018999576568603516,0.0003337860107421875,2,2025-03-11 10:30:55
59.0,Redundant3x3Wards.txt,2,10,10,solver,0,2,0,0.006743907928466797,0.003826,2,2025-03-11 10:30:55
60.0,simplest.txt,2,10,10,networkx,0,2,0,0.2746295928955078,0.002907276153564453,0,2025-03-11 10:32:25
61.0,simplest.txt,2,10,10,solver,0,2,0,0.05387735366821289,0.049915999999999995,0,2025-03-11 10:32:25
62.0,simplest.txt,2,10,10,networkx,2,0,15.0,0.008258819580078125,0.0008196036020914713,1,2025-03-11 10:32:25
63.0,simplest.txt,2,10,10,solver,1,1,7.0,0.04517722129821777,0.037679,1,2025-03-11 10:32:26
64.0,simplest.txt,2,10,10,networkx,0,2,0,0.004597902297973633,0.0010755062103271484,2,2025-03-11 10:32:26
65.0,simplest.txt,2,10,10,solver,0,2,0,0.02772235870361328,0.022272999999999998,2,2025-03-11 10:32:26
66.0,Redundant3x3Wards.txt,2,10,10,networkx,0,2,0,0.09778690338134766,0.000965118408203125,0,2025-03-12 03:19:16
67.0,Redundant3x3Wards.txt,2,10,10,solver,0,2,0,0.14784479141235352,0.12383799999999999,0,2025-03-12 03:19:16
68.0,Redundant3x3Wards.txt,2,10,10,networkx,0,2,0,0.0028159618377685547,0.0003788471221923828,1,2025-03-12 03:19:16
69.0,Redundant3x3Wards.txt,2,10,10,solver,0,2,0,0.009485006332397461,0.005712,1,2025-03-12 03:19:16
70.0,Redundant3x3Wards.txt,2,10,10,networkx,0,2,0,0.003432035446166992,0.0003521442413330078,2,2025-03-12 03:19:16
71.0,Redundant3x3Wards.txt,2,10,10,solver,0,2,0,0.007218837738037109,0.004091,2,2025-03-12 03:19:16
72.0,simplest.txt,2,10,10,networkx,0,2,0,1.2800266742706299,0.029261350631713867,0,2025-03-12 03:30:55
73.0,simplest.txt,2,10,10,solver,2,0,15.0,1.005784511566162,0.016179333333333334,0,2025-03-12 03:31:57
74.0,simplest.txt,2,10,1,networkx,0,2,0,9.465612649917603,0.0017390251159667969,0,2025-03-19 16:21:21
75.0,simplest.txt,2,10,1,solver,0,2,0,1.6570003032684326,1.41313,0,2025-03-19 16:21:22
76.0,simplest.txt,2,10,1,networkx,2,0,15.0,6.480166673660278,0.0007722377777099609,1,2025-03-19 16:21:32
77.0,simplest.txt,2,10,1,solver,2,0,15.0,0.03339242935180664,0.028922999999999997,1,2025-03-19 16:21:32
78.0,simplest.txt,2,10,1,networkx,2,0,15.0,4.109769582748413,0.0006295045216878256,2,2025-03-19 16:21:37
79.0,simplest.txt,2,10,1,solver,0,2,0,0.03930854797363281,0.031911,2,2025-03-19 16:21:37
80.0,simplest.txt,2,10,10,networkx,0,2,0,0.06989526748657227,0.0005295276641845703,0,2025-03-19 16:51:42
81.0,simplest.txt,2,10,10,solver,0,2,0,0.05603384971618652,0.042599,0,2025-03-19 16:51:43
82.0,simplest.txt,2,10,10,networkx,0,2,0,5.3270885944366455,0.0005068778991699219,0,2025-03-19 16:52:01
83.0,simplest.txt,2,10,10,solver,0,2,0,0.007388591766357422,0.004863,0,2025-03-19 16:52:01
84.0,simplest.txt,2,10,10,networkx,2,0,15.0,2.5854461193084717,0.0007747809092203776,1,2025-03-19 16:52:03
85.0,simplest.txt,2,10,10,solver,1,1,7.0,0.008477449417114258,0.005266,1,2025-03-19 16:52:03
86.0,simplest.txt,2,10,10,networkx,0,2,0,1.5010771751403809,0.000354766845703125,2,2025-03-19 16:52:05
87.0,simplest.txt,2,10,10,solver,0,2,0,0.017648696899414062,0.007117999999999999,2,2025-03-19 16:52:05
88.0,simplest.txt,2,10,10,networkx,0,2,0,1.2753705978393555,0.0006110668182373047,0,2025-03-19 16:53:25
89.0,simplest.txt,2,10,10,solver,0,2,0,0.012215375900268555,0.007071,0,2025-03-19 16:53:25
90.0,simplest.txt,2,10,10,networkx,0,2,0,5.332327127456665,0.0005304813385009766,0,2025-03-19 16:55:27
91.0,simplest.txt,2,10,10,solver,0,2,0,0.008480310440063477,0.005248,0,2025-03-19 16:55:27
92.0,simplest.txt,2,10,10,networkx,2,0,15.0,0.6514840126037598,0.0010063648223876953,1,2025-03-19 16:55:28
93.0,simplest.txt,2,10,10,solver,2,0,15.0,0.014650344848632812,0.008813999999999999,1,2025-03-19 16:55:28
94.0,simplest.txt,2,10,10,networkx,0,2,0,0.7966828346252441,0.0002987384796142578,2,2025-03-19 16:55:29
95.0,simplest.txt,2,10,10,solver,0,2,0,0.010739326477050781,0.006508,2,2025-03-19 16:55:29
96.0,simplest.txt,2,10,10,networkx,0,2,0,5.262925386428833,0.0006339550018310547,0,2025-04-14 10:01:49
97.0,simplest.txt,2,10,10,solver,0,2,0,0.06580996513366699,0.049693,0,2025-04-14 10:01:49
98.0,simplest.txt,2,10,10,networkx,2,0,15.0,1.8488147258758545,0.0002918243408203125,1,2025-04-14 10:01:51
99.0,simplest.txt,2,10,10,solver,2,0,15.0,0.007741451263427734,0.004467,1,2025-04-14 10:01:51
100.0,simplest.txt,2,10,10,networkx,0,2,0,2.4762420654296875,0.0003292560577392578,2,2025-04-14 10:01:54
101.0,simplest.txt,2,10,10,solver,0,2,0,0.010314226150512695,0.005515,2,2025-04-14 10:01:54
102.0,simplest.txt,2,5,5,networkx,0,2,0,5.3136279582977295,0.00057220458984375,0,2025-04-14 10:20:37
103.0,simplest.txt,2,5,5,solver,0,2,0,0.00915384292602539,0.005169,0,2025-04-14 10:20:37
104.0,simplest.txt,2,5,5,networkx,0,2,0,0.6364269256591797,0.0003247261047363281,1,2025-04-14 10:20:38
105.0,simplest.txt,2,5,5,solver,0,2,0,0.00893855094909668,0.005338,1,2025-04-14 10:20:38
106.0,simplest.txt,2,5,5,networkx,0,2,0,0.6904451847076416,0.0003600120544433594,2,2025-04-14 10:20:39
107.0,simplest.txt,2,5,5,solver,0,2,0,0.012141704559326172,0.007274999999999999,2,2025-04-14 10:20:39
108.0,simplest.txt,2,5,1,networkx,0,2,0,5.250403881072998,0.0008096694946289062,0,2025-04-14 10:21:36
109.0,simplest.txt,2,5,1,solver,0,2,0,0.02174234390258789,0.018539999999999997,0,2025-04-14 10:21:36
110.0,simplest.txt,2,5,1,networkx,0,2,0,2.2713494300842285,0.0005738735198974609,1,2025-04-14 10:21:38
111.0,simplest.txt,2,5,1,solver,0,2,0,0.015001296997070312,0.010274,1,2025-04-14 10:21:38
112.0,simplest.txt,2,5,1,networkx,0,2,0,2.2664124965667725,0.00046753883361816406,2,2025-04-14 10:21:41
113.0,simplest.txt,2,5,1,solver,0,2,0,0.022577524185180664,0.016589,2,2025-04-14 10:21:41
114.0,simplest.txt,2,10,10,networkx,0,2,0,0.3893899917602539,0.004332780838012695,0,2025-04-15 16:57:30
115.0,simplest.txt,2,10,10,solver,0,2,0,0.31614255905151367,0.243106,0,2025-04-15 16:57:31
116.0,simplest.txt,2,10,10,networkx,2,0,15.0,0.004628181457519531,0.0005061626434326172,1,2025-04-15 16:57:31
117.0,simplest.txt,2,10,10,solver,2,0,15.0,0.03069329261779785,0.020856,1,2025-04-15 16:57:32
118.0,simplest.txt,2,10,10,networkx,0,2,0,0.007988452911376953,0.002039194107055664,2,2025-04-15 16:57:32
119.0,simplest.txt,2,10,10,solver,0,2,0,0.027621746063232422,0.018533,2,2025-04-15 16:57:32
120.0,simplest.txt,2,10,10,networkx,0,2,0,2.5546820163726807,0.0012769699096679688,0,2025-04-16 06:14:31
121.0,simplest.txt,2,10,10,solver,0,2,0,0.14011526107788086,0.104029,0,2025-04-16 06:15:35
122.0,simplest.txt,2,10,10,networkx,2,0,15.0,0.7591414451599121,0.0005352497100830078,1,2025-04-16 06:15:46
123.0,simplest.txt,2,10,10,solver,2,0,15.0,0.008778810501098633,0.00463,1,2025-04-16 06:15:52
124.0,simplest.txt,2,10,10,networkx,0,2,0,0.7594449520111084,0.0003838539123535156,2,2025-04-16 06:16:02
125.0,simplest.txt,2,10,10,solver,0,2,0,0.023572921752929688,0.014358,2,2025-04-16 06:16:06
126.0,simplest.txt,5,10,10,networkx,0,5,0,0.08075451850891113,0.0026650428771972656,0,2025-04-16 06:18:29
127.0,simplest.txt,10,10,10,networkx,0,10,0,1.3681597709655762,0.00574493408203125,0,2025-04-16 06:19:06
128.0,simplest.txt,10,10,10,networkx,0,10,0,1.3179149627685547,0.0035381317138671875,0,2025-04-16 06:20:43
129.0,simplest.txt,10,10,10,solver,0,10,0,0.13611268997192383,0.121539,0,2025-04-16 06:20:44
130.0,simplest.txt,10,10,10,networkx,5,5,45.0,1.5201752185821533,0.0032329559326171875,1,2025-04-16 06:20:45
131.0,simplest.txt,10,10,10,solver,5,5,45.0,0.1648104190826416,0.14918299999999998,1,2025-04-16 06:20:46
132.0,simplest.txt,10,10,10,networkx,0,10,0,2.7997336387634277,0.004571437835693359,2,2025-04-16 06:20:49
133.0,simplest.txt,10,10,10,solver,0,10,0,0.16625690460205078,0.153106,2,2025-04-16 06:20:49
134.0,simplest.txt,2,10,10,networkx,0,2,0,0.9972889423370361,0.0005471706390380859,0,2025-04-16 07:18:12
135.0,simplest.txt,2,10,10,solver,0,2,0,0.057555198669433594,0.042887999999999996,0,2025-04-16 07:18:32
136.0,simplest.txt,2,10,10,networkx,0,2,0,0.04208850860595703,0.0005168914794921875,0,2025-04-16 07:18:52
137.0,simplest.txt,2,10,10,networkx,0,2,0,1.5537340641021729,0.0005230903625488281,0,2025-04-16 07:31:54
138.0,simplest.txt,2,10,10,networkx,0,2,0,1.941676378250122,0.0006499290466308594,0,2025-04-16 07:42:51
139.0,simplest.txt,2,10,10,networkx,0,2,0,7.900888919830322,0.0006570816040039062,0,2025-04-16 14:37:05
140.0,simplest.txt,2,10,10,networkx,0,2,0,0.7575099468231201,0.0005242824554443359,0,2025-04-16 14:39:14
141.0,simplest.txt,2,10,10,networkx,0,2,0,1.1091208457946777,0.0006387233734130859,0,2025-04-16 14:40:16
142.0,simplest.txt,2,10,10,networkx,0,2,0,1.2714159488677979,0.0006003379821777344,0,2025-04-16 14:42:53
143.0,simplest.txt,2,10,10,networkx,0,2,0,1.5063824653625488,0.00069427490234375,0,2025-04-16 14:52:11
144.0,simplest.txt,2,10,10,networkx,0,2,0,3.1274971961975098,0.0006413459777832031,0,2025-04-16 16:52:23
145.0,simplest.txt,2,10,10,networkx,0,2,0,2.7177629470825195,0.0006513595581054688,0,2025-04-16 16:54:25
146.0,simplest.txt,2,10,10,networkx,0,2,0,18.267241954803467,0.0014030933380126953,0,2025-04-17 14:45:49
147.0,simplest.txt,2,10,10,networkx,0,2,0,5.493750810623169,0.0015933513641357422,0,2025-04-17 14:53:59
148.0,simplest.txt,2,10,10,networkx,0,2,0,6.760906934738159,0.0011641979217529297,0,2025-04-28 09:39:47
149.0,simplest.txt,2,10,10,networkx,0,2,0,6.114010810852051,0.0009684562683105469,0,2025-04-28 10:23:49
150.0,simplest.txt,2,10,10,networkx,0,2,0,3.459714889526367,0.0008971691131591797,0,2025-04-28 10:24:53
151.0,simplest.txt,2,10,10,networkx,0,2,0,7.938385486602783,0.0015206336975097656,0,2025-04-28 11:12:54
152.0,simplest.txt,2,10,10,networkx,0,2,0,5.875257253646851,0.0012869834899902344,0,2025-04-30 23:16:36
153.0,simplest.txt,2,10,10,networkx,0,2,0,0.8136904239654541,0.0008790493011474609,0,2025-05-01 00:55:10
154.0,simplest.txt,2,10,10,networkx,0,2,0,0.7706189155578613,0.0007796287536621094,0,2025-05-01 00:55:45
155.0,simplest.txt,2,10,10,networkx,0,2,0,10.33306360244751,0.0006244182586669922,0,2025-05-06 13:36:27
156.0,simplest.txt,2,10,10,networkx,0,2,0,0.8048427104949951,0.0008580684661865234,0,2025-05-06 13:37:03
157.0,simplest.txt,2,10,10,networkx,0,2,0,1.0261058807373047,0.0008807182312011719,0,2025-05-06 13:39:05
158.0,simplest.txt,2,10,10,networkx,0,2,0,5.547772169113159,0.0008244514465332031,0,2025-05-07 00:27:42
159.0,simplest.txt,2,10,10,networkx,0,2,0,0.5990259647369385,0.0006704330444335938,0,2025-05-07 00:31:08
160.0,simplest.txt,2,10,10,solver,0,2,0,0.04877734184265137,0.034721999999999996,0,2025-05-07 00:31:08
161.0,simplest.txt,2,10,10,networkx,2,0,15.0,2.4424889087677,0.0009045600891113281,0,2025-05-07 00:33:56
162.0,simplest.txt,2,10,10,networkx,0,2,0,0.6830453872680664,0.0005736351013183594,0,2025-05-07 01:58:09
163.0,simplest.txt,2,10,10,networkx,0,2,0,0.5507044792175293,0.0006024837493896484,0,2025-05-07 02:04:30
164.0,simplest.txt,2,10,10,networkx,0,2,0,0.5508592128753662,0.0007014274597167969,0,2025-05-07 02:05:56
165.0,simplest.txt,2,10,10,networkx,0,2,0,0.6180667877197266,0.0006899833679199219,0,2025-05-07 02:08:18
166.0,simplest.txt,2,10,10,networkx,0,2,0,0.5464134216308594,0.0006196498870849609,0,2025-05-07 02:08:42
167.0,simplest.txt,2,10,10,networkx,0,2,0,0.8008556365966797,0.0007503032684326172,0,2025-05-07 02:12:17
168.0,simplest.txt,2,10,10,networkx,0,2,0,1.702665090560913,0.0007222890853881836,0,2025-05-07 02:17:02
169.0,simplest.txt,2,10,10,networkx,0,2,0,7.99039888381958,0.0012488365173339844,0,2025-05-07 12:35:42
